,Sentence,Target
0,Hi,5
1,How are you?,5
2,"Hey there, how have you been?",5
3,Is anyone there?,5
4,Hello,5
5,Good day,5
6,Hiii,5
7,Hii,5
8,Bye,4
9,See you there,4
10,Goodbye,4
11,Thanks,10
12,Thank you,10
13,That's helpful,10
14,Nice,10
15,Good,10
16,about you,0
17,Who are you?,0
18,What are you?,0
19,Who you are?,0
20,what you can do,0
21,What is the Purpose of the project,0
22,what is your name,7
23,what should I call you,7
24,whats your name?,7
25,Could you help me?,6
26,give me a hand please,6
27,Can you help?,6
28,What can you do for me?,6
29,I need a support,6
30,I need a help,6
31,support me please,6
32,Complete the work,8
33,My name,8
34,user name,8
35,you are not Good,8
36,Nothing,8
37,You are Bad,8
38,Noting to worry,8
39,Chatgpt is Best,8
40,Irrelevant,8
41,Can you help me find my prakriti,9
42,what is my prakriti?,9
43,figure out my prakriti,9
44,identify my prakriti,9
45,Determine my Prakriti,9
46,Determine,9
47,Who are the creators,3
48,who made these project,3
49,Project Creators,3
50,project is made by,3
51,Project,3
52,Which project,3
53,who created you,3
54,fuck you,2
55,Shut Up,2
56,i hate you,2
57,hate,2
58,You're so annoying,2
59,I can't stand you,2
60,Go away,2
61,You're worthless,2
62,You make me sick,2
63,I despise you,2
64,ok,1
65,yeah,1
66,This should be best,1
67,Now I Understand,1
